,clouds,date,humidity,lat,location,lon,pressure,temp,type,userId,visibility,weatherCond,windDeg,windSpeed,zipcode,device,zip
1b85e070-8e3c-11e7-bd7e-576539d05eac,1,2017-08-31T11:04:06.904Z,82,41.2,Haverstraw,-73.97,1013,60.57,0,,16093,,280.0,4.7,,Alexa,
1e921860-bef7-11e7-8d6e-8fcb78566a93,1,2017-11-01T11:23:43.719Z,74,41.2,Haverstraw,-73.97,1024,37.18,1,,16093,,332.001,2.04,10927,Alexa,
218690c0-4e1b-11e7-ae62-f93346813335,40,2017-06-10T20:26:49.165Z,42,41.2,Garnerville,-74.0,1015,83.91,1,,16093,,220.0,12.75,10923,Alexa,
247B477B-388C-410D-AC49-CAB9DFC126FF,1,2017-06-11T11:33:30.648Z,68,41.11,Airmont,-74.13,1019,69.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,260.0,3.0,,IOS,
249e4f80-5557-11e7-aaa5-79bc731415ba,90,2017-06-20T01:24:02.296Z,94,41.2,Garnerville,-74.0,1011,70.9,1,,3219,,180.0,6.93,,Alexa,
24E9C14A-D5D6-4997-950B-EBDA05382DD8,75,2017-10-24T15:47:52.783Z,73,40.71,New York,-74.01,1009,73.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,180.0,14.0,10007,IOS,
25F39CE8-797C-47AF-B8B3-0129E3083502,90,2017-06-06T20:20:22.131Z,82,41.08,Nanuet,-74.01,1009,57.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,130.0,8.0,10965,IOS,
278EA763-D5BD-4D41-A937-391B0D255125,1,2017-06-14T21:34:39.796Z,42,41.11,Bardonia,-74.01,1015,81.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,140.0,10.0,10954,IOS,
28362b70-6ad0-11e7-908f-4b064f587a76,1,2017-07-17T09:13:11.847Z,87,47.63,Seattle,-122.35,1021,55.62,0,,16093,,20.0008,5.5,98109,Alexa,
29e14870-516b-11e7-b1b1-77126e6b71b6,1,2017-06-15T01:37:16.408Z,59,41.2,Garnerville,-74.0,1016,70.77,1,,16093,,150.0,5.82,10923,Alexa,
2A570C86-76C3-4CBF-A1A0-C3E3B668275A,1,2017-09-12T11:07:10.392Z,82,41.16,Ossining,-73.87,1018,54.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,10.0,3.0,,IOS,
2C74454D-280F-41FD-B815-C452BEE9A330,75,2017-07-21T14:33:33.600Z,58,41.11,Airmont,-74.13,1014,81.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,330.0,8.0,,IOS,
2CDAE86D-C2BE-469E-BBE8-89BE8E754593,75,2017-06-15T15:16:05.940Z,68,41.36,Highland Falls,-73.95,1018,69.0,1,6eUdqOHk4YhcgJo2CqkSv8PI7ZF3,32186,,0.0,5.0,10524,IOS,
2D44F7DD-ADC7-4969-B8AF-AB0F01696F63,75,2017-11-13T12:19:26.277Z,55,41.14,Ossining,-73.87,1026,39.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,70.0,13.0,10562,IOS,
2F0E7273-FFFF-4A74-AF1A-E5C5B72C4C27,75,2018-01-16T12:59:54.875Z,85,41.06999969482422,Tarrytown,-73.87000274658203,1033,24.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,50.00389862060547,6.0,10591,IOS,
2F66D457-348B-459C-A90C-B47033FEC601,1,2017-10-27T11:16:46.203Z,80,41.2,West Haverstraw,-73.99,1017,39.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,268.50299072265625,3.0,10923,IOS,
2acb6d20-5557-11e7-aaa5-79bc731415ba,90,2017-06-20T01:24:12.658Z,94,41.2,Garnerville,-74.0,1011,70.9,1,,3219,,180.0,6.93,10923,Alexa,
2cc65bc0-0c0f-11e8-9797-2dbf24b43108,90,2018-02-07T13:59:55.041Z,68,41.2,Haverstraw,-73.97,1028,27.05,1,,3219,,90.0,10.29,,Alexa,
2dffc920-489e-11e7-accd-d1188fe465f0,40,2017-06-03T20:49:47.187Z,30,41.2,Garnerville,-74.0,1013,72.43,1,,16093,,300.0,12.75,,Alexa,
30747C59-8869-483D-A3F3-A64E905A5F5C,1,2018-01-19T22:20:22.529Z,60,41.22999954223633,Thiells,-74.04000091552734,1015,35.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,258.0050048828125,4.0,10980,IOS,
307E13F1-0A98-4266-AD3B-645D27646174,90,2017-06-01T11:04:35.201Z,93,41.11,Airmont,-74.13,1015,62.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,70.0,4.0,10901,IOS,
319B435A-6B0D-43AD-8221-B3F6FC1283BC,90,2017-06-16T23:13:05.433Z,100,41.2,West Haverstraw,-73.98,1014,65.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,2414,,95.5024,4.0,10927,IOS,
32D59833-4F1A-4B5A-B918-37FE14F74D32,90,2017-06-17T21:18:10.331Z,83,41.7,Arlington,-73.88,1014,73.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,0.0,5.0,12603,IOS,
33E1EA17-7CD3-4744-835E-F592B8C34004,90,2017-06-01T02:59:27.896Z,93,41.11,Airmont,-74.13,1015,62.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,70.0,4.0,10901,IOS,
33FFDE62-A987-40DA-A8AD-1F6AEA1A7FAD,40,2017-07-17T11:11:49.085Z,100,41.11,Suffern,-74.14,1017,66.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,131.502,3.0,10901,IOS,
344900A9-BA4E-443C-9ACD-83D71D5279D7,1,2018-01-14T19:36:47.851Z,29,41.20000076293945,West Haverstraw,-73.98999786376953,1035,23.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,340.0,17.0,10923,IOS,
35154DCC-9C17-433F-B48A-1F4ED0F9A617,90,2018-01-11T16:47:26.395Z,75,41.20000076293945,West Haverstraw,-73.98999786376953,1029,42.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,11265,,205.50100708007812,5.0,10923,IOS,
36F829DB-6FC0-468B-970C-46853D2F9C4A,75,2017-06-10T22:08:15.731Z,33,40.73,Bellerose Terrace,-73.74,1014,84.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,270.0,8.0,11427,IOS,
371B390D-1910-40C6-8929-CD9C8B5D4962,40,2017-06-20T11:54:35.953Z,78,41.11,Suffern,-74.14,1012,70.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,24140,,260.0,9.0,10901,IOS,
3747FCE1-834A-49C5-8AE9-7A94FF524AEA,90,2017-05-31T18:21:14.360Z,77,40.71,New York,-74.01,1017,66.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,8047,,210.0,3.0,,IOS,
375E09F5-A658-4090-ABA4-BB33F65A50D4,75,2017-11-02T12:23:34.453Z,93,41.2,West Haverstraw,-73.99,1024,54.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,201,,170.0,5.0,10923,IOS,
3AFE7FEA-C6C7-4267-B5A0-8A018EDF34DB,75,2017-07-27T11:15:28.503Z,93,41.11,Airmont,-74.13,1018,63.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,222.504,3.0,,IOS,
3c21df80-6981-11e7-9a49-13a7ba58ee27,40,2017-07-15T17:15:43.864Z,61,41.2,Haverstraw,-73.97,1014,80.31,1,,16093,,273.503,3.13,,Alexa,
404E4221-F72C-4477-A6EC-9BE16A349A2F,1,2017-10-18T12:22:54.516Z,65,41.2,West Haverstraw,-73.99,1025,44.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,280.0,5.0,10923,IOS,
40D198B3-654E-4613-B1C3-92E9CE4F49AF,1,2017-06-09T01:39:01.579Z,58,41.1,Upper Nyack,-73.93,1011,60.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,115.002,2.0,10960,IOS,
4113A4C6-2D75-46D9-8E63-B5C5790283F0,1,2017-06-04T12:17:35.425Z,51,40.69,Oak Island Junction,-74.18,1017,55.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,227.508,3.0,,IOS,
4125B8B9-0328-431C-A7AA-0FC5198D85C1,1,2017-11-28T14:09:44.704Z,55,40.71,New York,-74.01,1031,37.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,0.0,6.0,,IOS,
41F3F63D-D7EE-4C7B-958E-414C89B37170,1,2018-02-02T13:16:33.578Z,73,41.20000076293945,West Haverstraw,-73.98999786376953,1014,26.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,310.0,8.0,10923,IOS,
467317B5-A158-4831-99A7-08AA505E04B5,1,2017-12-04T12:39:12.739Z,100,41.2,West Haverstraw,-73.99,1029,31.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,4828,,310.0,5.0,10923,IOS,
473cfad0-9e15-11e7-8bed-7584bda023cc,75,2017-09-20T15:06:28.478Z,69,41.2,Haverstraw,-73.97,1012,75.42,1,,16093,,360.0,11.41,10927,Alexa,
4AD04310-7C9B-4015-92B3-AD7BEC1820CF,1,2017-12-24T20:49:20.258Z,59,41.2,West Haverstraw,-73.99,1020,38.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,60.0,6.0,,IOS,
4B187167-6236-4DBA-9177-9E9C7694E418,75,2017-12-12T12:55:12.505Z,86,41.07,South Nyack,-73.92,1005,41.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,14484,,120.0,5.0,10960,IOS,
