"|","|__coffeechooser__base","|__coffeechooser__clouds__all","|__coffeechooser__cod","|__coffeechooser__coord__lat","|__coffeechooser__coord__lon","|__coffeechooser__device","|__coffeechooser__dt","|__coffeechooser__id","|__coffeechooser__main__humidity","|__coffeechooser__main__pressure","|__coffeechooser__main__temp","|__coffeechooser__main__temp_max","|__coffeechooser__main__temp_min","|__coffeechooser__name","|__coffeechooser__sys__country","|__coffeechooser__sys__id","|__coffeechooser__sys__message","|__coffeechooser__sys__sunrise","|__coffeechooser__sys__sunset","|__coffeechooser__sys__type","|__coffeechooser__visibility","|__coffeechooser__weather__description","|__coffeechooser__weather__icon","|__coffeechooser__weather__id","|__coffeechooser__weather__main","|__coffeechooser__wind__deg","|__coffeechooser__wind__gust","|__coffeechooser__wind__speed","|__clouds","|__date","|__device","|__humidity","|__lat","|__location","|__lon","|__pressure","|__temp","|__type","|__userId","|__visibility","|__weatherCond","|__windDeg","|__windSpeed"
"6e70e110-6ad1-11e7-908f-4b064f587a76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-17T09:22:19.169Z","Alexa","87","47.63","Seattle","-122.35","1021","55.62","1","","16093","","20.0008","5.5"
"702F35F9-417C-486C-8A75-408C31B8459D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-09T15:37:48.413Z","","46","40.73","Hoboken","-74.03","1008","72","1","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","300","8"
"706fd780-5dae-11e7-8e26-f381caef534c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-06-30T16:09:05.017Z","Alexa","54","41.2","Garnerville","-74","1016","82.24","1","","16093","","230","8.05"
"73087C44-9F2E-42F2-8B64-672B82A33AC8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-06-20T04:07:48.184Z","","100","41.2","West Haverstraw","-73.99","1012","70","2","6eUdqOHk4YhcgJo2CqkSv8PI7ZF3","16093","","190","5"
"73161280-6086-11e7-be36-e17cbde4202e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-07-04T07:00:23.080Z","Alexa","94","37.77","San Francisco","-122.41","1018","61.47","1","","16093","","140","4.7"
"73C57677-B73F-40E3-9BE0-B2F9F9E14B5E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-05T23:38:58.982Z","","93","41.09","Airmont","-74.14","1006","64","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","11265","","80","11"
"76197090-6ad0-11e7-908f-4b064f587a76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-17T09:15:22.521Z","Alexa","87","47.63","Seattle","-122.35","1021","55.62","1","","16093","","20.0008","5.5"
"7801B07F-C73A-4EA7-81DC-92E495A5155E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-03T16:08:13.555Z","","40","41.09","Nyack","-73.92","1014","64","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","330","12"
"78C2C6F4-EBCA-443D-97F4-B1B3D41686EB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-29T14:52:09.059Z","","93","40.67","Bayonne","-74.12","1014","56","1","DvGx1A7L7wNN9Han9GjEm08Mb7t2","11265","","70","6"
"798E1840-41F2-4EB3-9779-6B58C94325EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-06T12:55:41.130Z","","100","41.11","Airmont","-74.13","1008","55","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","80","5"
"7F6F2F7D-E615-47D9-968D-469CDDC46211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-30T00:41:56.757Z","","87","41.09","Airmont","-74.14","1018","57","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","140","5"
"7F873238-69B8-425C-A4FB-6058D47A2960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-02T21:31:51.387Z","","20","41.11","Airmont","-74.13","1012","73","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","300","14"
"7e5bb320-8d6d-11e7-80ea-b5b2161ddc58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-08-30T10:25:06.899Z","Alexa","93","41.2","Haverstraw","-73.97","1014","59.58","1","","16093","","330","8.05"
"7eb56230-6086-11e7-be36-e17cbde4202e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-07-04T07:00:42.579Z","Alexa","94","37.77","San Francisco","-122.41","1018","61.47","1","","16093","","140","4.7"
"7eca55a0-5555-11e7-aaa5-79bc731415ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-20T01:12:14.587Z","Alexa","94","41.2","Garnerville","-74","1011","70.77","1","","16093","","210","6.93"
"817361B5-6D0B-4B4E-AD4A-C586490064D0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-12T02:25:02.454Z","","39","41.11","Suffern","-74.14","1016","80","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","270","4"
"8194B26D-54C6-4CB8-A6FF-8B1B55AB8613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-08-07T13:32:53.862Z","","77","40.71","New York","-74.01","1020","67","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","11265","","239.501","7"
"81CA0923-A9EC-4B97-ABA7-19D00F059C5C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-28T13:36:08.427Z","","77","40.84","Bronx","-73.93","1026","59","1","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","55.50490188598633","6"
"829a5da0-5169-11e7-8b05-1f3dc69d681d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-15T01:25:26.267Z","Alexa","59","41.2","Garnerville","-74","1016","70.77","0","","16093","","150","5.82"
"838d0b10-6ad0-11e7-908f-4b064f587a76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-17T09:15:45.089Z","Alexa","87","47.63","Seattle","-122.35","1021","55.62","1","","16093","","20.0008","5.5"
