,clouds,date,humidity,temp,type,visibility,windSpeed,zipcode,day_of_week,is_weekend_False,is_weekend_True,month,season_fall,season_spring,season_summer,season_winter,part_of_day_afternoon,part_of_day_evening,part_of_day_morning,part_of_day_night,weatherCond_Clear,weatherCond_Clouds,weatherCond_Fog,weatherCond_Haze,weatherCond_Rain,weatherCond_Smoke,weatherCond_Snow,weatherCond_Thunderstorm
6BD45ED7-0000-4B71-84CD-DFADEED22B16,90,2018-10-06T13:34:30.174Z,89,60.0,1,6.0,5.0,10927,5,1,0,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
247B477B-388C-410D-AC49-CAB9DFC126FF,1,2017-06-11T11:33:30.648Z,68,69.0,1,10.0,3.0,10901,6,0,1,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
8D2476AE-D968-4E2A-9394-03FFF682B227,90,2018-10-08T11:23:35.048Z,91,66.0,1,2.0,5.0,7016,0,1,0,10,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
DD488F56-F31E-4F2C-882D-0987721D1ACB,20,2017-12-21T13:51:44.909Z,73,30.0,1,10.0,5.0,10923,3,1,0,12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
0A660F11-F9F1-42E9-B8A2-01E8D885713E,90,2018-09-10T11:38:13.920Z,96,55.0,1,7.0,12.0,7016,0,1,0,9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CA001E93-B6D1-4FEB-834D-29E0D59932A9,92,2018-10-15T03:01:21.625Z,95,60.0,1,0.0,2.0,948-0082,0,1,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
204EAFA4-047C-448F-B92C-F69BB24DA7CF,90,2018-05-12T16:27:00.238Z,93,52.0,1,10.0,4.0,10923,5,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
50017516-F510-40AB-AC77-1BC191A1414A,75,2018-11-10T20:22:49.581Z,36,41.0,1,10.0,16.0,10956,5,1,0,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24E9C14A-D5D6-4997-950B-EBDA05382DD8,75,2017-10-24T15:47:52.783Z,73,73.0,1,10.0,14.0,10007,1,1,0,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
EB9707D9-A5CF-43C4-AB6C-1F04D6D64069,1,2017-06-27T16:43:08.962Z,56,71.0,1,10.0,6.0,10923,1,1,0,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
23672B38-81FD-4FEA-8C75-68D0E59E89DC,75,2018-02-16T12:25:06.048Z,93,51.0,1,8.0,12.0,10923,4,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6B2D05D6-83AC-4201-AB7A-1F985BF72C2D,90,2018-06-24T01:30:09.557Z,88,65.0,1,10.0,4.0,10952,6,0,1,6,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
A9776D00-E22D-41BB-A809-3714E62C2E69,1,2018-12-09T14:45:04.490Z,68,26.0,1,10.0,3.0,10927,6,0,1,12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
26E7CB04-04DF-425B-9828-87754FC2A3D4,1,2018-07-10T02:50:11.324Z,77,72.0,1,10.0,4.0,7430,1,1,0,7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
87892949-8C47-4523-A5DB-5C81E4A6DDD9,90,2018-12-30T22:11:06.218Z,75,33.0,1,10.0,2.0,12603,6,0,1,12,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
15EC1E45-57DC-4723-8833-7E7016C5F812,20,2017-11-07T12:13:18.860Z,69,39.0,1,10.0,8.0,10562,1,1,0,11,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
69197290-516d-11e7-9098-6d44c9184f7c,5,2017-06-15T01:53:21.466Z,46,71.0,1,10.0,2.0,10923,3,1,0,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1D619B29-6F8D-4D13-BD21-576F831D13E3,1,2017-10-26T10:29:31.079Z,66,51.0,1,10.0,8.0,7645,3,1,0,10,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ad7c5b70-ddca-11e7-945a-d76d3781ada1,1,2017-12-10T16:53:42.184Z,59,34.0,1,10.0,9.0,10927,6,0,1,12,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
F09FFB74-CA92-4B00-8230-2E018321EF96,0,2018-06-23T18:21:21.318Z,69,79.0,1,6.0,13.0,109012,5,1,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
bc75b130-60bb-11e7-8441-799a20e48d26,40,2017-07-04T13:21:49.508Z,49,72.0,1,10.0,9.0,10927,1,1,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
52E49776-27FB-4DC5-BCA3-21EB45CC1508,1,2017-08-09T11:42:16.659Z,72,60.0,1,10.0,2.0,10923,2,1,0,8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
E5050553-6F0B-4473-9487-67D3DA10C034,40,2018-05-11T11:59:54.732Z,67,58.0,1,10.0,14.0,10901,4,1,0,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
979EFC45-30BF-47E3-ADC6-DB9DD4424631,1,2017-09-02T14:01:06.579Z,76,56.0,1,10.0,3.0,10923,5,1,0,9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7f0a1bb0-ed8d-11e7-a8e6-19cf5fbb5d97,90,2017-12-30T18:16:03.600Z,85,19.0,1,1.0,5.0,10927,5,1,0,12,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
E218EAD9-CF7D-41FB-869C-28E5B41A2417,20,2018-04-20T15:49:44.486Z,41,42.0,1,10.0,20.0,10954,4,1,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9bf033a0-993b-11e7-901d-178bfb2ba43d,90,2017-09-14T10:58:15.643Z,100,68.0,1,4.0,3.0,10927,3,1,0,9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
59E4AB2C-83F6-42F6-98FC-248D0734B715,90,2018-11-13T21:09:11.250Z,68,45.0,1,10.0,5.0,10956,1,1,0,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
90096FD6-D298-4622-A1CC-26106DF3DCE4,1,2018-11-09T11:38:20.691Z,64,34.0,1,10.0,3.0,10923,4,1,0,11,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
37ED8D81-924D-4EDE-8A5F-CB3875747474,1,2018-06-08T11:25:08.951Z,93,58.0,1,10.0,3.0,10901,4,1,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
