,clouds,date,humidity,pressure,temp,type,visibility,windDeg,windSpeed,zipcode
143,40,2017-09-29T16:21:21.197Z,48,1018,63,1,16093,346.5010070800781,4,10002
144,1,2017-06-24T17:50:12.583Z,35,1007,83,1,16093,320,24,7002
145,1,2017-09-02T14:01:06.579Z,76,1025,56,1,16093,70.0011,3,10923
146,90,2017-06-17T17:32:48.562Z,73,1013,72,0,16093,88.0041,3,12508
147,1,2017-07-12T03:16:59.309Z,78,1014,75,0,16093,239,2,10923
148,1,2017-09-23T14:29:25.107Z,56,1018,74.25,1,16093,340,14.99,10927
149,1,2017-10-11T10:23:59.109Z,82,1020,60,1,16093,300,3,10927
150,90,2017-09-14T10:58:15.643Z,100,1011,67.78,1,6437,210,3.36,10927
151,90,2017-06-08T02:15:22.642Z,87,1015,64,1,11265,170,4,95112
152,56,2017-05-28T17:24:08.473Z,56,1014,71,0,0,0,5,10954
153,75,2017-06-18T16:15:43.211Z,83,1012,80,0,11265,170,10,10954
154,1,2017-06-21T14:46:27.184Z,47,1014,76,1,16093,310,11,10901
155,1,2017-10-21T15:59:32.919Z,28,1027,69,0,16093,190,3,10956
156,75,2017-10-02T11:36:40.743Z,100,1029,43,1,16093,343,2,10923
157,1,2017-06-22T11:30:55.560Z,68,1017,64,0,16093,280,4,10701
159,75,2017-06-01T13:47:32.399Z,77,1014,64,0,16093,256.501,3,10923
160,1,2017-11-24T16:00:18.374Z,42,1017,43,1,16093,320,5,10994
161,90,2017-09-30T22:03:37.204Z,76,1021,53,1,16093,350,8,12603
165,1,2017-09-21T11:27:37.064Z,77,1016,70,1,16093,330,12,10522
167,1,2017-10-10T11:02:03.927Z,88,1017,63,1,16093,310,3,10923
168,1,2017-06-26T14:26:36.843Z,40,1017,72,1,16093,310,8,7310
169,90,2017-06-06T18:47:28.809Z,82,1015,64,0,14484,150,4,95113
170,75,2017-11-08T12:38:20.331Z,86,1024,37,1,16093,330,13,10923
171,75,2017-06-26T19:24:20.432Z,29,1016,77,1,16093,260,9,10901
172,1,2017-10-27T21:42:27.459Z,31,1018,61,1,16093,190,5,10994
173,75,2017-06-01T13:47:27.629Z,77,1014,64,0,16093,256.501,3,10923
