,clouds,humidity,temp,type,visibility,windSpeed,weatherCond_Clear,weatherCond_Clouds,weatherCond_Fog,weatherCond_Haze,weatherCond_Rain,weatherCond_Smoke,weatherCond_Snow,weatherCond_Thunderstorm
69160BE7-C919-4AA9-950E-9E2453D254DF,1,69,72.0,0,10.0,8.0,1,0,0,0,0,0,0,0
E2C6F5AB-B02B-4D63-98CB-A32742FAA53C,1,60,68.0,1,10.0,2.0,1,0,0,0,0,0,0,0
211C690B-0052-4E7F-B0E8-A778EF7C5D36,40,80,33.0,1,10.0,6.0,0,1,0,0,0,0,0,0
CA001E93-B6D1-4FEB-834D-29E0D59932A9,92,95,60.0,1,0.0,2.0,0,1,0,0,0,0,0,0
8856AD37-DF17-4399-A2AF-E26764266267,90,100,64.0,1,4.0,6.0,0,0,0,0,1,0,0,0
B551EBD0-D3B3-44B1-8142-C6EA41CC281A,1,77,70.0,1,10.0,12.0,0,1,0,0,0,0,0,0
73161280-6086-11e7-be36-e17cbde4202e,90,94,61.0,0,10.0,5.0,0,1,0,0,0,0,0,0
F34DF9E0-3A95-4EB4-BFE7-97DE953BBBAA,90,87,48.0,1,3.0,18.0,0,1,0,0,0,0,0,0
8E66E8CC-F6C6-40FA-8B9C-9C42B07045E2,1,58,88.0,0,10.0,6.0,1,0,0,0,0,0,0,0
448DC0B8-04D5-4D45-8FCF-DED8EEBC8B7E,90,96,63.0,1,2.0,20.0,0,0,0,0,1,0,0,0
BF9F7D37-9C96-435F-BEAF-9E691787E28B,20,31,50.0,1,10.0,17.0,0,1,0,0,0,0,0,0
E17E3326-7BEA-4797-84C5-589F17F176A0,90,88,66.0,1,10.0,3.0,0,1,0,0,0,0,0,0
ACFCD1C2-AB63-4903-931E-A8FA02E94A9D,75,71,51.0,1,10.0,9.0,0,1,0,0,0,0,0,0
77C61259-DBD9-4B04-AEFD-380807837814,90,88,65.0,0,10.0,3.0,0,0,0,0,1,0,0,0
3BEB6C96-7AED-488E-92CC-A90F9FFB598C,1,73,73.0,0,10.0,6.0,1,0,0,0,0,0,0,0
8B07D6FF-8624-4A49-AAEB-02E200A8DB55,90,81,53.0,1,10.0,3.0,0,0,0,0,1,0,0,0
687dfb00-611e-11e8-85dd-89a54a8c774f,40,33,88.0,0,20.0,14.0,0,1,0,0,0,0,0,0
7494BB7D-409B-40D8-A4D5-41B10613FD51,1,39,69.0,0,10.0,12.0,1,0,0,0,0,0,0,0
9D917F09-BA6E-4849-8C45-A16DAA1E856A,1,82,60.0,1,10.0,3.0,0,1,0,0,0,0,0,0
C05A8CC9-39E4-48AE-BC9F-6A156422FB38,75,86,37.0,1,10.0,13.0,0,1,0,0,0,0,0,0
204EAFA4-047C-448F-B92C-F69BB24DA7CF,90,93,52.0,1,10.0,4.0,0,0,0,0,1,0,0,0
AF8AC4E3-48A7-4A3C-8408-C409643894C0,90,76,53.0,1,10.0,8.0,0,1,0,0,0,0,0,0
35154DCC-9C17-433F-B48A-1F4ED0F9A617,90,75,42.0,1,7.0,5.0,0,0,0,1,0,0,0,0
5B9E941C-A111-4441-829C-36F2E2042CB3,1,34,32.0,1,10.0,6.0,1,0,0,0,0,0,0,0
F3BA6D8C-7C80-4F56-8F7F-3755B9826C96,90,87,66.0,0,10.0,2.0,0,0,1,0,0,0,0,0
2FCE8C6D-6BEA-41D3-9481-CA8F8044C8DD,75,31,85.0,0,10.0,13.0,0,1,0,0,0,0,0,0
F44308E0-E580-4FCB-B2D9-5D47E637764D,75,61,46.0,1,10.0,10.0,1,0,0,0,0,0,0,0
7FA58F78-1315-48EB-9222-9AC4085EAE33,90,81,53.0,1,8.0,8.0,0,0,0,0,1,0,0,0
E72EAA44-43D9-4CBE-AC95-9BEB1A314816,1,61,35.0,1,10.0,3.0,1,0,0,0,0,0,0,0
B21714A4-BD63-4BA2-9296-65C466681513,1,83,70.0,0,10.0,2.0,1,0,0,0,0,0,0,0
FAD99F91-1ED2-4180-B2FB-F0A902169AD4,75,61,80.0,0,10.0,9.0,0,1,0,0,0,0,0,0
0bf7cb20-9894-11e7-8905-e34c19e368d7,20,64,70.0,1,10.0,3.0,0,1,0,0,0,0,0,0
9B9D6CF9-2511-4FB2-8C6B-A5316C46A870,1,61,79.0,0,10.0,6.0,1,0,0,0,0,0,0,0
33FFDE62-A987-40DA-A8AD-1F6AEA1A7FAD,40,100,66.0,1,10.0,3.0,0,1,0,0,0,0,0,0
4AD04310-7C9B-4015-92B3-AD7BEC1820CF,1,59,38.0,1,10.0,6.0,0,1,0,0,0,0,0,0
CBEB158A-43B7-4ADF-AA12-1C53612F81ED,90,93,37.0,1,2.0,8.0,0,0,1,0,0,0,0,0
50DBD6A0-B745-4058-B52A-F06B02C138A7,1,69,32.0,1,10.0,5.0,0,1,0,0,0,0,0,0
17FA3694-A292-4E09-927E-E0E978C8DB53,1,93,63.0,0,10.0,4.0,1,0,0,0,0,0,0,0
4B861D69-A0B0-409E-AF22-ECA05FBFB9A6,20,87,53.0,1,10.0,8.0,0,1,0,0,0,0,0,0
83F67B09-96B6-49E2-95E4-3EC9760385F8,90,77,58.0,1,10.0,21.0,0,0,0,0,1,0,0,0
e66075f0-430c-11e8-b307-e7faca4d539f,75,59,40.0,1,10.0,11.0,0,1,0,0,0,0,0,0
375E09F5-A658-4090-ABA4-BB33F65A50D4,75,93,54.0,1,0.0,5.0,0,1,0,0,0,0,0,0
E218EAD9-CF7D-41FB-869C-28E5B41A2417,20,41,42.0,1,10.0,20.0,0,1,0,0,0,0,0,0
113784CB-2A42-4557-B3C7-0544EF3819C7,75,87,61.0,1,10.0,5.0,0,0,0,0,1,0,0,0
C495A701-70E1-48C0-92D9-F06B52BDA648,75,77,64.0,1,10.0,3.0,0,1,0,0,0,0,0,0
97F9D10E-7E34-46E4-BCB0-9992746A53CE,90,73,72.0,1,10.0,3.0,0,1,0,0,0,0,0,0
D176F87D-2541-460C-A628-0BE1CDF97071,90,66,33.0,1,20.0,4.0,0,1,0,0,0,0,0,0
D259F774-EBE7-46D7-9AD2-07F100B5BAAD,90,81,53.0,1,8.0,8.0,0,0,0,0,1,0,0,0
D194FF16-CC7A-4BCA-8AFD-D70A84C246FD,1,82,64.0,0,10.0,4.0,1,0,0,0,0,0,0,0
fb1a5310-721b-11e8-b663-67a862397977,1,72,60.0,0,10.0,3.0,1,0,0,0,0,0,0,0
C65C303C-839C-415A-8548-6F39B4C9B042,1,35,26.0,1,10.0,8.0,1,0,0,0,0,0,0,0
0A53AA93-770F-4D39-B44B-A00A610B288C,1,59,61.0,0,10.0,4.0,1,0,0,0,0,0,0,0
D84175CE-DAAA-40FC-9AF4-9E2E528C0999,1,82,59.0,0,10.0,8.0,1,0,0,0,0,0,0,0
3D20782A-1E31-42FE-80E8-C30087C0D4FD,75,84,66.0,1,10.0,6.0,0,1,0,0,0,0,0,0
6B2D05D6-83AC-4201-AB7A-1F985BF72C2D,90,88,65.0,1,10.0,4.0,0,1,0,0,0,0,0,0
3B507B37-32E4-4EC8-AFE8-143DE5867FA9,1,44,79.0,0,10.0,3.0,1,0,0,0,0,0,0,0
96DFDC31-350D-42FF-9D07-095F8AF9D33D,90,93,66.0,0,1.0,4.0,0,0,0,0,1,0,0,0
13B9E73B-4541-4789-929A-28F7FA875B51,20,65,83.0,0,10.0,9.0,0,1,0,0,0,0,0,0
B314AD96-0826-4A24-8410-22E266144CA1,90,94,71.0,0,9.0,5.0,0,0,0,0,1,0,0,0
4C1D045B-E3A1-41E9-A534-63056D39D4C3,20,68,71.0,1,10.0,21.0,0,1,0,0,0,0,0,0
D10D7129-46AB-4310-A884-80093D1D68E0,90,88,73.0,1,9.0,6.0,0,0,0,0,1,0,0,0
3D9F0C18-BE49-4FFD-B5D5-BBD210A620DB,90,92,47.0,1,10.0,5.0,0,0,0,0,1,0,0,0
D1003A14-02AD-4EB2-8D71-2C7E260AFC15,20,40,72.0,0,10.0,11.0,0,1,0,0,0,0,0,0
3833B999-3208-4A09-913F-6BF7A9AA8AA1,1,33,88.0,0,10.0,4.0,1,0,0,0,0,0,0,0
53284922-59C9-40C8-A1FD-CD6F64E243F9,90,93,42.0,1,2.0,9.0,0,0,0,0,1,0,0,0
0892e3b0-17d4-11e8-b4bb-a5f46e77aa37,75,75,43.0,1,10.0,13.0,0,0,0,0,1,0,0,0
F04DC310-3E84-477E-9692-340BCE14EF8C,0,73,78.0,0,6.0,11.0,1,0,0,0,0,0,0,0
07A3F3D1-977A-4F29-AD83-F4AF693A9CAB,75,14,87.0,0,10.0,20.0,0,1,0,0,0,0,0,0
E5899720-FA64-47F1-8FCD-74D46D863E8F,75,61,83.0,0,10.0,11.0,0,1,0,0,0,0,0,0
A3ED6E6B-F7D7-4001-86B2-A2BE84CA9523,1,48,88.0,0,10.0,8.0,1,0,0,0,0,0,0,0
1E704B19-88E0-45EB-8AE6-577610C84AE6,40,93,66.0,1,10.0,4.0,0,1,0,0,0,0,0,0
30747C59-8869-483D-A3F3-A64E905A5F5C,1,60,35.0,1,10.0,4.0,1,0,0,0,0,0,0,0
E5050553-6F0B-4473-9487-67D3DA10C034,40,67,58.0,1,10.0,14.0,0,1,0,0,0,0,0,0
52E49776-27FB-4DC5-BCA3-21EB45CC1508,1,72,60.0,1,10.0,2.0,1,0,0,0,0,0,0,0
90608950-BDF1-4956-AA0B-B803EA32407F,1,68,70.0,1,10.0,2.0,1,0,0,0,0,0,0,0
4B19FF9D-C314-4E56-839B-664AAB3317FF,1,41,59.0,1,10.0,16.0,1,0,0,0,0,0,0,0
25ada9b0-545d-11e8-b337-917286d961af,1,72,58.0,0,10.0,8.0,0,0,0,1,0,0,0,0
A0208198-2139-49E9-81DC-224CCFE10D1D,40,50,66.0,1,10.0,4.0,0,1,0,0,0,0,0,0
D894321F-FDDF-42A0-BF0C-F07B6C2ECA97,20,25,99.0,0,10.0,16.0,0,1,0,0,0,0,0,0
803D1478-D0E0-4102-B8A6-DB95A67AC86C,90,100,53.0,1,7.0,6.0,0,0,0,0,1,0,0,0
AD9B91D2-EC08-427C-A00D-4118DDFF09C7,1,42,43.0,1,10.0,5.0,1,0,0,0,0,0,0,0
ea548ff0-a6d7-11e8-8dac-11e1cda49de4,75,69,66.0,0,10.0,10.0,0,0,0,0,1,0,0,0
C1438AA5-2980-4425-93A4-6D47572834A9,75,48,84.0,0,10.0,8.0,0,0,0,1,0,0,0,0
4A1A66D3-53DE-491F-B1FC-7E12CE4FC35E,40,40,88.0,0,10.0,4.0,0,1,0,0,0,0,0,0
680c8f00-fd1a-11e7-94d0-2301fdccf346,20,67,18.0,1,8.0,6.0,1,0,0,0,0,0,0,0
E23615C1-DC3C-4669-9512-DE7A7D32C912,1,36,75.0,1,10.0,17.0,1,0,0,0,0,0,0,0
225af420-786b-11e8-b872-4d95b20ad14e,75,77,66.0,0,10.0,3.0,0,1,0,0,0,0,0,0
fdd90270-26af-11e8-879e-ff6f3218c642,90,85,33.0,1,1.0,10.0,0,0,0,0,0,0,1,0
3458796F-39F5-488D-ACCC-535EC9AFE298,40,40,66.0,0,10.0,9.0,0,1,0,0,0,0,0,0
9a718cf0-47d1-11e8-8840-97a399dba024,1,47,60.0,0,10.0,11.0,1,0,0,0,0,0,0,0
b9f568a0-62b9-11e8-8d7a-0f6ea1f73713,90,68,68.0,0,10.0,4.0,0,1,0,0,0,0,0,0
96a29f20-4988-11e8-a7a5-19658f20bd1d,40,45,65.0,0,10.0,14.0,0,1,0,0,0,0,0,0
5EAB2CF1-715A-4D6C-BE97-A9B3F975FA2F,1,76,50.0,1,10.0,3.0,1,0,0,0,0,0,0,0
01125B66-EB0B-455F-8672-48E6413510A5,1,48,40.0,1,10.0,17.0,0,1,0,0,0,0,0,0
0390A93B-3969-41EB-8E3F-CAD14AB67E66,90,93,60.0,1,1.0,9.0,0,0,0,0,1,0,0,0
FB9495E9-CB02-48C7-B894-C7F039C4FC52,90,63,28.0,1,10.0,3.0,0,1,0,0,0,0,0,0
05A11569-B04B-4376-888C-00DF1ED4736A,75,61,80.0,0,10.0,9.0,0,1,0,0,0,0,0,0
67802515-9320-47F3-B5BA-EA39CDC95513,1,35,72.0,0,10.0,8.0,1,0,0,0,0,0,0,0
a974d970-45b3-11e8-a7f6-539171a92877,1,22,59.0,0,10.0,13.0,1,0,0,0,0,0,0,0
A1D65FC4-2188-4097-8076-E1210C7535C1,56,56,71.0,1,0.0,5.0,0,1,0,0,0,0,0,0
87AA456A-D18B-4D1D-A219-51AA40525881,1,73,74.0,1,10.0,4.0,1,0,0,0,0,0,0,0
415D5B40-516D-49E9-900A-8EF5C068B779,20,32,68.0,0,10.0,9.0,0,1,0,0,0,0,0,0
675FBD14-8CCE-4685-875C-2061CAB654ED,40,44,74.0,0,10.0,5.0,0,1,0,0,0,0,0,0
552DA703-71BD-4F8A-8A00-555EB6167CEE,90,83,74.0,0,3.0,3.0,0,0,0,0,1,0,0,0
67124F7D-727A-4C07-B885-8D0DB8088FEA,20,64,77.0,0,10.0,6.0,0,1,0,0,0,0,0,0
8D5449E4-0499-4846-8313-AC392C6C74A9,90,100,62.0,1,10.0,3.0,0,1,0,0,0,0,0,0
cd5eb000-6b5f-11e8-935d-63e82b014d23,40,57,81.0,0,10.0,9.0,0,1,0,0,0,0,0,0
A06AA9D4-2901-4FDA-9785-1DD70CC92AC7,90,87,64.0,1,7.0,4.0,1,0,0,0,0,0,0,0
936B6F50-C045-4F03-BB12-9A75F5AA5BD1,90,57,75.0,0,10.0,5.0,0,1,0,0,0,0,0,0
E24767C9-865F-4D8A-90E4-7F6CB4ACAF0F,90,67,63.0,0,10.0,2.0,0,0,0,0,1,0,0,0
CFEF1CC0-982E-483F-A4F1-810CFFC17787,75,75,69.0,1,10.0,8.0,0,1,0,0,0,0,0,0
BC31342A-AD28-4C0B-83B1-429353F315E6,90,96,59.0,1,1.0,8.0,0,0,0,0,1,0,0,0
7F6F2F7D-E615-47D9-968D-469CDDC46211,90,87,57.0,1,10.0,5.0,0,1,0,0,0,0,0,0
9B2997F0-04EA-497B-9E3C-F1C4FFBEAE85,40,69,77.0,0,10.0,9.0,0,0,0,0,1,0,0,0
2B849A97-07AC-453D-B34C-A2DF0D358509,1,82,59.0,0,10.0,8.0,1,0,0,0,0,0,0,0
E6BB39E7-4F01-4F2A-BDF4-B81011227CA8,1,69,72.0,0,10.0,3.0,1,0,0,0,0,0,0,0
A1DC3A7B-CEA1-4760-9438-ED8AEDC2021F,1,100,74.0,0,7.0,4.0,0,0,0,0,1,0,0,0
